"dose","riskbp","riskbp_log10","abfailbp","alpha_s","beta_s","antibiotic","pMIC","fr","scenario"
1,4.73973741743627e-06,-5.32424571767555,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
1.5,1.49881782549599e-05,-4.82425115046714,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
2,4.73949064120349e-05,-4.32426832997173,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
2.5,0.000149857108631135,-3.82432265100962,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
3,0.000473702442536639,-3.32449437592763,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
3.5,0.00149610858239868,-2.82503688573272,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
4,0.00471251606616951,-2.32674715616294,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
4.5,0.0147196232794772,-1.8321033047905,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
5,0.0448185957853198,-1.34854175449976,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
5.5,0.127013071953553,-0.896151579948384,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
6,0.304841755981627,-0.515925545369304,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
6.5,0.560703408726255,-0.251266803654487,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
7,0.78918472154015,-0.102821331193584,"More likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
7.5,0.922546121104588,-0.0350119128214471,"Less likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
8,0.976680205082774,-0.0102476142781898,"Less likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
8.5,0.993661812276825,-0.0027614003641914,"Less likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
9,0.998344598109274,-0.000719527624619363,"Less likely treatable",0.583518213372158,1227025.54420564,"Cefepime","0",0.09,"Varying %MIC"
1,1.62805869297067e-06,-5.78832994246045,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
1.5,5.1483549425857e-06,-5.2883315192089,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
2,1.62803409113899e-05,-4.78833650519711,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
2.5,5.14810893555984e-05,-4.28835227186634,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
3,0.000162778811687803,-3.7884021262646,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
3.5,0.000514565022762925,-3.28855973801942,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
4,0.00162533267487086,-2.78905773371672,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
4.5,0.00512119854248549,-2.29062838678337,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
5,0.0160120053579021,-1.79555427324424,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
5.5,0.0488947817151993,-1.31073748838606,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
6,0.139557603150341,-0.855246498005236,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
6.5,0.338545006252729,-0.470383587930296,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
7,0.62125420851071,-0.206730656243661,"More likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
7.5,0.84669906410967,-0.0722709202711362,"Less likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
8,0.952030618321473,-0.021349084016545,"Less likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
8.5,0.986788629902625,-0.00577586323479147,"Less likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
9,0.99653462546765,-0.00150760675949724,"Less likely treatable",0.58352445978983,4367383.05739808,"Cefepime","0.5",0.09,"Varying %MIC"
1,7.72886156075181e-07,-6.11188447170843,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
1.5,2.44407685212611e-06,-5.61188514215717,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
2,7.72881190069796e-06,-5.11188726217848,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
2.5,2.44402719358217e-05,-4.61189396620486,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
3,7.72831534162632e-05,-4.11191516553483,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
3.5,0.000244353071662706,-3.61198219726286,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
4,0.000772335316482686,-3.11219410577684,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
4.5,0.00243857672300052,-2.61286357599549,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
5,0.00767407040261892,-2.1149742208624,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
5.5,0.023900915377531,-1.62158546575488,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
6,0.0721296913149302,-1.14188592640565,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
6.5,0.199191382827764,-0.700729453418846,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
7,0.448207323315347,-0.348521051751289,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
7.5,0.734148432231566,-0.134216124304666,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
8,0.908190689768328,-0.0418229545413785,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
8.5,0.973682951267541,-0.0115824342201029,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
9,0.993000080425957,-0.00305071632984766,"Less likely treatable",0.583354738557675,14718397.556799,"Cefepime","1",0.09,"Varying %MIC"
1,4.24792980346922e-07,-6.37182266853154,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
1.5,1.34331176582236e-06,-5.87182318132758,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
2,4.24790892661342e-06,-5.3718248029184,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
2.5,1.34329088969931e-05,-4.8718299306584,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
3,4.24770017595222e-05,-4.37184614553414,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
3.5,0.000134308216854562,-3.87189741677706,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
4,0.000424561389682165,-3.37205950383564,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
4.5,0.00134099883246874,-2.87257160026369,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
5,0.00422487308485997,-2.3741863327197,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
5.5,0.0132054559522882,-1.8792465990656,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
6,0.0402895487526418,-1.39480759673014,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
6.5,0.1147842094118,-0.940117852678486,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
7,0.278357249739543,-0.555397463127019,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
7.5,0.518671685357238,-0.285107459792709,"Less likely treatable",0.58372060549355,422263954.954279,"Cefepime","2.5",0.09,"Varying %MIC"
