"dose","riskbp","riskbp_log10","abfailbp","alpha_s","beta_s","antibiotic","pMIC","fr","scenario"
1,3.9776237636957e-08,-7.40037629840574,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
1.5,1.25783493731824e-07,-6.90037634658171,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
2,3.97762193404816e-07,-6.40037649817476,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
2.5,1.25783311089034e-06,-5.90037697719556,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
3,3.97760367254474e-06,-5.40037849205163,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
3.5,1.25781484923149e-05,-4.90038328247977,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
4,3.97742106271748e-05,-4.40039843075527,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
4.5,0.000125763226318298,-3.90044632981086,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
5,0.000397559595390229,-3.40059776006629,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
5.5,0.00125580952726057,-2.90107622646879,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
6,0.00395744324849412,-2.40258530439803,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
6.5,0.0123788912754582,-1.90731825148014,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
7,0.0378522829998943,-1.42190792159705,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
7.5,0.108473758968405,-0.964675309866708,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
8,0.265997902372328,-0.575121788149817,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
8.5,0.501047059274534,-0.300121482469172,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
9,0.717364968937036,-0.144259835032232,"More likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0","Varying resistant fraction"
1,8.51799973888845e-08,-7.06966237757517,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
1.5,2.69362757765457e-07,-6.56966245024267,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
2,8.5179938058566e-07,-6.06966268007388,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
2.5,2.69362164673215e-06,-5.56966340648834,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
3,8.51793450251659e-06,-5.06966570369699,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
3.5,2.69356234389173e-05,-4.56967296803159,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
4,8.51734150765227e-05,-4.0696959391211,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
4.5,0.000269296945479502,-3.5697685725778,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
5,0.000851141595807792,-3.06999818473021,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
5.5,0.00268705444917428,-2.57072353314393,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
6,0.00845259710782309,-2.07300983113309,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
6.5,0.026292612186102,-1.58016626434425,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
7,0.0790506751677662,-1.10209441642901,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
7.5,0.216128484557662,-0.665287991696206,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
8,0.476448238397041,-0.32198427445819,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
8.5,0.760143527955511,-0.119104397832489,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
9,0.922032700036367,-0.0352536763503608,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.01","Varying resistant fraction"
1,2.66794980774421e-07,-6.57382234507962,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
1.5,8.43679257900298e-07,-6.07382262801757,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
2,2.66794257142156e-06,-5.57382352302504,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
2.5,8.43672021011432e-06,-5.07382635331288,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
3,2.66787020416492e-05,-4.57383530331102,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
3.5,8.43599659436922e-05,-4.07386360425817,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
4,0.000266714676635638,-3.57395308552312,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
4.5,0.000842876783549551,-3.07423590833573,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
5,0.00265993572215295,-2.57512885804997,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
5.5,0.00835721214835417,-2.07793857310025,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
6,0.0259008178310631,-1.58668652264036,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
6.5,0.0770773900114118,-1.11307299981358,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
7,0.206016105497264,-0.686098826935793,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
7.5,0.442625509577351,-0.353963560247378,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
8,0.710653907654577,-0.148341851576602,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
8.5,0.890942385393922,-0.0501503795933374,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
9,0.967812491664117,-0.0142087767037487,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.05","Varying resistant fraction"
1,4.93813585022984e-07,-6.30643696661275,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
1.5,1.56157363273568e-06,-5.80643753270381,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
2,4.93810905444203e-06,-5.30643932322964,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
2.5,1.56154683624843e-05,-4.80644498522872,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
3,4.93784110418005e-05,-4.30646288943205,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
3.5,0.00015612789280639,-3.80651950174374,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
4,0.000493516334727051,-3.30669846819309,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
4.5,0.00155860535248853,-2.80726383666078,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
5,0.00490855899997988,-2.30904598449792,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
5.5,0.0153240855472275,-1.81462543221851,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
6,0.0465872956615601,-1.33173249911069,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
6.5,0.1314785262081,-0.88114517273216,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
7,0.312823413798384,-0.504700748889394,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
7.5,0.568697644429873,-0.245118570610548,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
8,0.79353853304634,-0.100431979705498,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
8.5,0.924684226935343,-0.0340065504098959,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
9,0.977960589910178,-0.00967864616270546,"Less likely treatable",0.638970499460605,160641253.497816,"Cefepime",2,"0.1","Varying resistant fraction"
1,2.96158046864115e-07,-6.52847646271507,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
1.5,9.36533206763457e-07,-6.02847681918735,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
2,2.96157034884725e-06,-5.52847794671262,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
2.5,9.3652308654768e-06,-5.02848151221647,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
3,2.96146914965378e-05,-4.52849278715098,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
3.5,9.36421897101969e-05,-4.02852843940155,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
4,0.000296045756533525,-3.52864115963613,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
4.5,0.00093541129204644,-3.0289973917037,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
5,0.00295038236369416,-2.53012169667215,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
5.5,0.00925432478347821,-2.03365526286538,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
6,0.028535304449203,-1.54461748951055,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
6.5,0.0836876768403247,-1.07733848793582,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
7,0.216010937890977,-0.665524257435059,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
7.5,0.438288829926088,-0.358239597480374,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
8,0.668824056688505,-0.174688114308313,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
8.5,0.827683857720958,-0.0821355147432513,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
9,0.915069964560004,-0.0385456993098249,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0","Varying resistant fraction"
1,3.38997978133193e-07,-6.46980289202764,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
1.5,1.0720048682078e-06,-5.96980324241285,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
2,3.38996840121286e-06,-5.46980434995115,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
2.5,1.07199348916565e-05,-4.96980785235595,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
3,3.38985461318941e-05,-4.46981892776847,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
3.5,0.00010718797118503,-3.96985394916825,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
4,0.000338871718184919,-3.46996467533129,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
4.5,0.00107074336005242,-2.97031461009183,"More likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.01","Varying resistant fraction"
