"dose","risk","outcome","variable","scenario","model","dataset","panel"
2,-5.9706164546805,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
2.5,-5.47061695706454,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
3,-4.97061854579021,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
3.5,-4.47062356976901,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
4,-3.97063945686246,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
4.5,-3.47068969498902,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
5,-2.97084854914495,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
5.5,-2.4713507625981,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
6,-1.97293762602932,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
6.5,-1.47794297945471,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
7,-0.993643820295922,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
7.5,-0.54202117571874,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
8,-0.182440260717117,"Higher treatability","0","Varying %MIC","Exponential","Dataset 1","A"
2,-6.45567997080908,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
2.5,-5.95568013517855,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
3,-5.45568065518135,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
3.5,-4.95568229949318,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
4,-4.45568749926218,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
4.5,-3.95570394224566,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
5,-3.45575593815736,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
5.5,-2.95592035001086,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
6,-2.4564401293683,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
6.5,-1.95808245028324,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
7,-1.46326226786528,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
7.5,-0.979505737273714,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
8,-0.529508530231197,"Higher treatability","0.5","Varying %MIC","Exponential","Dataset 1","A"
2,-6.85288526159483,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
2.5,-6.35288532729856,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
3,-5.85288553566709,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
3.5,-5.35288619452433,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
4,-4.85288827795928,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
4.5,-4.35289486633497,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
5,-3.85291570039268,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
5.5,-3.3529815812751,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
6,-2.85318989299227,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
6.5,-2.35384841322337,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
7,-1.85592864445879,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
7.5,-1.36248498792591,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
8,-0.882998763859859,"Higher treatability","1","Varying %MIC","Exponential","Dataset 1","A"
2,-7.25408642148326,"Lower treatability","2.5","Varying %MIC","Exponential","Dataset 1","A"
