"dose","risk","risk_log10","abfail","alpha_s","beta_s","model","panel","variable"
2,1.06999942750541e-06,-5.9706164546805,"Treatable",NA,NA,"Exponential","A","0"
2.5,3.38363137186715e-06,-5.47061695706454,"Treatable",NA,NA,"Exponential","A","0"
3,1.06999427551546e-05,-4.97061854579021,"Treatable",NA,NA,"Exponential","A","0"
3.5,3.3835798520232e-05,-4.47062356976901,"Treatable",NA,NA,"Exponential","A","0"
4,0.000106994275704153,-3.97063945686246,"Treatable",NA,NA,"Exponential","A","0"
4.5,0.000338306471094008,-3.47068969498902,"Treatable",NA,NA,"Exponential","A","0"
5,0.00106942775411922,-2.97084854914495,"Treatable",NA,NA,"Exponential","A","0"
5.5,0.00337791904746576,-2.4713507625981,"Treatable",NA,NA,"Exponential","A","0"
6,0.010642958628835,-1.97293762602932,"Treatable",NA,NA,"Exponential","A","0"
6.5,0.0332703232583512,-1.47794297945471,"Treatable",NA,NA,"Exponential","A","0"
7,0.101474327009694,-0.993643820295922,"Treatable",NA,NA,"Exponential","A","0"
7.5,0.28706406093502,-0.54202117571874,"Treatable",NA,NA,"Exponential","A","0"
8,0.656991482581293,-0.182440260717117,"Treatable",NA,NA,"Exponential","A","0"
2,3.50203134713567e-07,-6.45567997080908,"Treatable",NA,NA,"Exponential","A","0.5"
2.5,1.10743913028788e-06,-5.95568013517855,"Treatable",NA,NA,"Exponential","A","0.5"
3,3.50202582855008e-06,-5.45568065518135,"Treatable",NA,NA,"Exponential","A","0.5"
3.5,1.10743361135812e-05,-4.95568229949318,"Treatable",NA,NA,"Exponential","A","0.5"
4,3.50197064028501e-05,-4.45568749926218,"Treatable",NA,NA,"Exponential","A","0.5"
4.5,0.000110737842457742,-3.95570394224566,"Treatable",NA,NA,"Exponential","A","0.5"
5,0.000350141882089039,-3.45575593815736,"Treatable",NA,NA,"Exponential","A","0.5"
5.5,0.00110682675836316,-2.95592035001086,"Treatable",NA,NA,"Exponential","A","0.5"
6,0.00349590699880276,-2.4564401293683,"Treatable",NA,NA,"Exponential","A","0.5"
6.5,0.0110133020348284,-1.95808245028324,"Treatable",NA,NA,"Exponential","A","0.5"
7,0.0344142042657261,-1.46326226786528,"Treatable",NA,NA,"Exponential","A","0.5"
7.5,0.104832094458181,-0.979505737273714,"Treatable",NA,NA,"Exponential","A","0.5"
8,0.295455085585298,-0.529508530231197,"Treatable",NA,NA,"Exponential","A","0.5"
2,1.40318436980813e-07,-6.85288526159483,"Treatable",NA,NA,"Exponential","A","1"
2.5,4.43725791443583e-07,-6.35288532729856,"Treatable",NA,NA,"Exponential","A","1"
3,1.40318348429425e-06,-5.85288553566709,"Treatable",NA,NA,"Exponential","A","1"
3.5,4.4372490538569e-06,-5.35288619452433,"Treatable",NA,NA,"Exponential","A","1"
4,1.40317462411499e-05,-4.85288827795928,"Treatable",NA,NA,"Exponential","A","1"
4.5,4.43716045360754e-05,-4.35289486633497,"Treatable",NA,NA,"Exponential","A","1"
5,0.000140308602697758,-3.85291570039268,"Treatable",NA,NA,"Exponential","A","1"
5.5,0.000443627458075246,-3.3529815812751,"Treatable",NA,NA,"Exponential","A","1"
6,0.00140220046567929,-2.85318989299227,"Treatable",NA,NA,"Exponential","A","1"
