"dose","risk","risk_log10","abfail","antibiotic","pMIC","fr"
2,1.77869096118499e-08,-7.74989950189408,"Treatable","Helper_antibiotic",1,"0"
2.5,5.62471459408798e-08,-7.24989950936902,"Treatable","Helper_antibiotic",1,"0"
3,1.77869082240711e-07,-6.74989953577882,"Treatable","Helper_antibiotic",1,"0"
3.5,5.62471317189228e-07,-6.24989961917936,"Treatable","Helper_antibiotic",1,"0"
4,1.77868939921222e-06,-5.74989988327369,"Treatable","Helper_antibiotic",1,"0"
4.5,5.62469893528039e-06,-5.24990071841582,"Treatable","Helper_antibiotic",1,"0"
5,1.77867516251151e-05,-4.74990335939791,"Treatable","Helper_antibiotic",1,"0"
5.5,5.62455656986094e-05,-4.24991171087946,"Treatable","Helper_antibiotic",1,"0"
6,0.000177853280342921,-3.74993812023535,"Treatable","Helper_antibiotic",1,"0"
6.5,0.000562313317971297,-3.25002163042809,"Treatable","Helper_antibiotic",1,"0"
7,0.0017771100477969,-2.75028567761332,"Treatable","Helper_antibiotic",1,"0"
7.5,0.00560892566285554,-2.25112031581605,"Treatable","Helper_antibiotic",1,"0"
8,0.0176296564616987,-1.75375615044839,"Treatable","Helper_antibiotic",1,"0"
2,1.3108420937602e-07,-6.8824496210017,"Untreatable","Helper_antibiotic",1,"0.01"
2.5,4.14524608305378e-07,-6.382449682402,"Untreatable","Helper_antibiotic",1,"0.01"
3,1.31084132104498e-06,-5.8824498770097,"Untreatable","Helper_antibiotic",1,"0.01"
3.5,4.14523835090552e-06,-5.38245049249442,"Untreatable","Helper_antibiotic",1,"0.01"
4,1.31083358868578e-05,-4.88245243882308,"Untreatable","Helper_antibiotic",1,"0.01"
4.5,4.14516102822393e-05,-4.38245859362741,"Untreatable","Helper_antibiotic",1,"0.01"
5,0.000131075626857435,-3.88247805663484,"Untreatable","Helper_antibiotic",1,"0.01"
5.5,0.000414438790748539,-3.38253960215373,"Untreatable","Helper_antibiotic",1,"0.01"
6,0.00130998340185284,-2.88273420703842,"Untreatable","Helper_antibiotic",1,"0.01"
6.5,0.0041366672653419,-2.38334941036807,"Untreatable","Helper_antibiotic",1,"0.01"
7,0.013022880618656,-1.88529294062083,"Untreatable","Helper_antibiotic",1,"0.01"
7.5,0.0406050651483051,-1.39141978837473,"Untreatable","Helper_antibiotic",1,"0.01"
8,0.122856100040585,-0.910603275096027,"Untreatable","Helper_antibiotic",1,"0.01"
2,5.84273280201941e-07,-6.23338397425142,"Untreatable","Helper_antibiotic",1,"0.05"
2.5,1.84763317412351e-06,-5.73338424862865,"Untreatable","Helper_antibiotic",1,"0.05"
3,5.8427174397524e-06,-5.23338511614114,"Untreatable","Helper_antibiotic",1,"0.05"
3.5,1.8476178123672e-05,-4.73338785949353,"Untreatable","Helper_antibiotic",1,"0.05"
4,5.84256382404336e-05,-4.23339653468611,"Untreatable","Helper_antibiotic",1,"0.05"
4.5,0.000184746420381798,-3.73342396767464,"Untreatable","Helper_antibiotic",1,"0.05"
5,0.000584102796350794,-3.23351071460124,"Untreatable","Helper_antibiotic",1,"0.05"
5.5,0.00184592905445491,-2.73378499445357,"Untreatable","Helper_antibiotic",1,"0.05"
6,0.00582569892945717,-2.23465196334962,"Untreatable","Helper_antibiotic",1,"0.05"
6.5,0.0183067074685692,-1.73738975820039,"Untreatable","Helper_antibiotic",1,"0.05"
7,0.0567532305755737,-1.24600941199894,"Untreatable","Helper_antibiotic",1,"0.05"
7.5,0.168699126850858,-0.772887165216659,"Untreatable","Helper_antibiotic",1,"0.05"
8,0.442489226318619,-0.35409729899403,"Untreatable","Helper_antibiotic",1,"0.05"
2,1.15075932971553e-06,-5.93901549540201,"Untreatable","Helper_antibiotic",1,"0.1"
2.5,3.63901599331751e-06,-5.43901603570415,"Untreatable","Helper_antibiotic",1,"0.1"
3,1.15075337066006e-05,-4.93901774434455,"Untreatable","Helper_antibiotic",1,"0.1"
3.5,3.63895640290712e-05,-4.43902314751634,"Untreatable","Helper_antibiotic",1,"0.1"
4,0.000115069378199162,-3.93904023369858,"Untreatable","Helper_antibiotic",1,"0.1"
4.5,0.000363836057056699,-3.43909426347817,"Untreatable","Helper_antibiotic",1,"0.1"
5,0.00115009812150935,-2.93926510589664,"Untreatable","Helper_antibiotic",1,"0.1"
5.5,0.00363240939605847,-2.43980520959225,"Untreatable","Helper_antibiotic",1,"0.1"
6,0.0114416407438936,-1.94151169276979,"Untreatable","Helper_antibiotic",1,"0.1"
6.5,0.035736060943828,-1.44689331989525,"Untreatable","Helper_antibiotic",1,"0.1"
7,0.108701596622155,-0.963764076897153,"Untreatable","Helper_antibiotic",1,"0.1"
7.5,0.305040884282691,-0.515641948756755,"Untreatable","Helper_antibiotic",1,"0.1"
8,0.683603780574944,-0.165195544139867,"Untreatable","Helper_antibiotic",1,"0.1"
